,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_dock,-5.045914416825806e+28,8.310269543757699e+29,-1.7158440623980092e+29,-500.2684413196903,-1.0,-inf,inf,False
1,logK_2AP,21.35929001961591,189.18328147317916,-301.13369247739604,296.4648367050646,-3.0,-inf,inf,False
2,logK_mg,9.962095424286952e+27,1.6382975984052658e+29,-942092386276386.5,3.269603787848351e+28,-6.0,-inf,inf,False
3,n_mg,-1.6480882416151432,2.771735131974278,-4.904795914089517,4.641142276385329,1.0,-5.0,5.0,False
