,param,Mg,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_app,0.1,-4.920660109631102,0.32676691883009956,-5.827910521957499,-4.013409697304706,-3.0,-inf,inf,False
0,logK_app,1.0,-4.286324560705102,0.09459409119327203,-4.548959862179297,-4.023689259230908,-3.0,-inf,inf,False
0,logK_app,10.0,-2.7521021973298545,0.0358050139287721,-2.851512852993933,-2.652691541665776,-3.0,-inf,inf,False
0,logK_app,100.0,-2.4447140204778566,0.03796624880113587,-2.550125226124492,-2.339302814831221,-3.0,-inf,inf,False
