,param,Mg,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_app,0.1,-4.576062490007567,0.1678646518099751,-5.042129480861106,-4.109995499154029,-3.0,-inf,inf,False
0,logK_app,1.0,-3.3211305576696724,0.05107555572261654,-3.4524244535052344,-3.1898366618341103,-3.0,-inf,inf,False
0,logK_app,10.0,-2.3727643644290994,0.04082786467009588,-2.4777157317778125,-2.2678129970803864,-3.0,-inf,inf,False
0,logK_app,100.0,-2.293316749777575,0.0420912845334975,-2.4015158412791666,-2.1851176582759835,-3.0,-inf,inf,False
