,param,Mg,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_app,0.1,-5.414981023034168,0.9118518744960323,-7.946687696644115,-2.883274349424222,-3.0,-inf,inf,False
0,logK_app,1.0,-4.586950024158814,0.09057166536535727,-4.8197719020589505,-4.354128146258678,-3.0,-inf,inf,False
0,logK_app,10.0,-3.904147111995806,0.04565985015730277,-4.021519493472719,-3.786774730518893,-3.0,-inf,inf,False
0,logK_app,100.0,-3.872763311319357,0.03993172461177053,-3.975411077311076,-3.770115545327638,-3.0,-inf,inf,False
