,param,Mg,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_app,0.1,-5.586062435171652,1.3663284940018843,-9.379598494435463,-1.79252637590784,-3.0,-inf,inf,False
0,logK_app,1.0,-4.8240451839940395,0.14074477018168258,-5.185841133821588,-4.4622492341664906,-3.0,-inf,inf,False
0,logK_app,10.0,-4.476839651699812,0.08585990053030852,-4.697549552496572,-4.256129750903053,-3.0,-inf,inf,False
0,logK_app,100.0,-4.123998737329909,0.049694553866240505,-4.25174265487714,-3.9962548197826786,-3.0,-inf,inf,False
