,param,Mg,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_app,0.1,-4.5704878818994,0.15725446741206914,-5.0070962782161255,-4.133879485582674,-3.0,-inf,inf,False
0,logK_app,1.0,-4.847627564713767,0.14933461180006377,-5.231504405384925,-4.46375072404261,-3.0,-inf,inf,False
0,logK_app,10.0,-3.49438957512101,0.0376089678203602,-3.591066504693856,-3.3977126455481637,-3.0,-inf,inf,False
0,logK_app,100.0,-2.926929669058222,0.034620552939472755,-3.0159246336179897,-2.8379347044984544,-3.0,-inf,inf,False
