,param,Mg,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_app,0.1,-3.860760194005537,0.12153503717678284,-4.198195553085048,-3.5233248349260258,-3.0,-inf,inf,False
0,logK_app,1.0,-2.6663440481735328,0.037712306440217974,-2.7710501967951955,-2.56163789955187,-3.0,-inf,inf,False
0,logK_app,10.0,-2.38722662232142,0.04028768559018289,-2.499083169778031,-2.2753700748648087,-3.0,-inf,inf,False
0,logK_app,100.0,-2.355098975051498,0.04073872235898986,-2.468207801337128,-2.2419901487658684,-3.0,-inf,inf,False
