,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_dock,-2.6677962566551705,242.26569275346614,-505.0960917351774,499.7604992218671,-1.0,-inf,inf,False
1,logK_2AP,-3.504064667695274,1.9377270818284444,-7.5226646756475235,0.5145353402569759,-3.0,-inf,inf,False
2,logK_mg,-2.7628006965231937,586.2894136970765,-1218.6526257601254,1213.1270243670788,-6.0,-inf,inf,False
3,n_mg,0.41360918526710666,0.29418370025454504,-0.19649046770714174,1.023708838241355,1.0,-5.0,5.0,False
