,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_dock,-3.2381727780531238,182.85721307394027,-385.96271826386726,379.486372707761,-1.0,-inf,inf,False
1,logK_2AP,-2.363078185973935,0.03129692082378427,-2.4285833940870267,-2.2975729778608436,-3.0,-inf,inf,False
2,logK_mg,-3.8058567714072593,124.11940556205985,-263.5907582316533,255.97904468883877,-6.0,-inf,inf,False
3,n_mg,1.4728803168117963,0.15503003839608734,1.1483987172929488,1.7973619163306438,1.0,-5.0,5.0,False
