,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_dock,-2.848435192888867,220.555190205193,-464.47575361694754,458.7788832311698,-1.0,-inf,inf,False
1,logK_2AP,-2.4372115808671535,0.040031491100148926,-2.5209984546735953,-2.3534247070607117,-3.0,-inf,inf,False
2,logK_mg,-5.440914294257276,121.92789959865728,-260.63894105772255,249.75711246920798,-6.0,-inf,inf,False
3,n_mg,1.8086332031683157,0.14011420010786205,1.5153708119783875,2.101895594358244,1.0,-5.0,5.0,False
