,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-1.8430310338331677,0.24037684480719748,-2.342922048246168,-1.3431400194201673,-6.0,-inf,inf,False
1,logK_dock,-15.514806788026778,453.65379820194363,-958.9395262420778,927.9099126660242,-3.0,-inf,inf,False
2,logK_2AP,-2.926642434946755,0.04367832466092585,-3.017476483626126,-2.8358083862673835,-3.0,-inf,inf,False
3,logK_mg,-11.473446112443543,140.97232051660188,-304.64143558215426,281.6945433572672,-6.0,-inf,inf,False
4,n_mg,-3.5701102307368426,35.03627685463134,-76.43203664533952,69.29181618386583,0.0,-5.0,5.0,False
