,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-5.130930498144191,7.285633498269252,-20.282234788756558,10.020373792468177,-6.0,-inf,inf,False
1,logK_dock,-2.825410519465917,3.4261623431966317,-9.9505051626622,4.2996841237303665,-3.0,-inf,inf,False
2,logK_2AP,-2.274227183032227,0.04516483367951646,-2.3681525964469716,-2.1803017696174822,-3.0,-inf,inf,False
3,logK_mg,-8.55188096887589,2.0726814887790392,-12.862258088651522,-4.2415038491002575,-6.0,-inf,inf,False
4,n_mg,-1.4933425073538749,0.23193384900755926,-1.9756753508109703,-1.0110096638967794,0.0,-5.0,5.0,False
