,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,0.6180242357905776,105.82038857058859,-219.44752089006633,220.6835693616475,-6.0,-inf,inf,False
1,logK_dock,4.421228057063622,528.945796860286,-1095.5817742040927,1104.42423031822,-3.0,-inf,inf,False
2,logK_2AP,-5.082455268996227,105.82334498432802,-225.15414859379638,214.98923805580392,-3.0,-inf,inf,False
3,logK_mg,1.4255816761301723,34.05912146081014,-69.40423885303163,72.25540220529199,-6.0,-inf,inf,False
4,n_mg,0.1634915663038115,112.95992241947184,-234.74952699659246,235.07651012920007,0.0,-5.0,5.0,False
