,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-1.9899647142805184,0.6938426945463081,-3.442194163941386,-0.5377352646196507,-6.0,-inf,inf,False
1,logK_dock,0.0,,,,,,,True
2,logK_2AP,-2.7638564091958737,0.039811835272494225,-2.8471835380713433,-2.680529280320404,-3.0,-inf,inf,False
3,logK_mg,-6.235770261746384,0.2825864496956515,-6.827230498409214,-5.644310025083555,-6.0,-inf,inf,False
4,n_mg,-2.134052836113781,2.537115182735527,-7.444295942383656,3.1761902701560936,0.0,-5.0,5.0,False
