,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-15187.004026280678,39721.518194373675,-121941.38057672147,-13.288818433050977,-6.0,-inf,inf,False
1,logK_dock,-7.80458744697191,81.01532248129934,-198.13869657319515,172.72337115590108,-3.0,-inf,inf,False
2,logK_2AP,-2.443009225692443,0.058581015935196726,-2.554184207782268,-2.3268429838173286,-3.0,-inf,inf,False
3,logK_mg,-11.103270035154534,42.51201438409392,-111.53129331682634,84.33943673827164,-6.0,-inf,inf,False
4,n_mg,-1.9525903520954937,0.3638223459582694,-2.792905724946878,-1.5578197555995175,0.0,-5.0,5.0,False
