,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-12.051177255211769,46.15227444520847,-100.20924774005115,-1.608596146104794,-6.0,-inf,inf,False
1,logK_dock,-12.607762762719938,39.90974803093514,-90.42898960893021,95.01163556352066,-3.0,-inf,inf,False
2,logK_2AP,-2.9162096648622606,0.06459420188492405,-3.0221086918876567,-2.7641933274581127,-3.0,-inf,inf,False
3,logK_mg,-11.292980729316767,11.553432054219378,-35.21361666038582,18.978185114350502,-6.0,-inf,inf,False
4,n_mg,-3.259568745886387,0.955119933340808,-4.786835780836554,-1.295547361425093,0.0,-5.0,5.0,False
