,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-41120.263681444434,73166.1176202655,-260150.34549871142,-14.464888893924305,-6.0,-inf,inf,False
1,logK_dock,-0.9342548880069583,76.08018747518966,-185.2397838929028,191.20196798648172,-3.0,-inf,inf,False
2,logK_2AP,-2.3726206049314866,0.043239386291134635,-2.4573853244165598,-2.2851166960209035,-3.0,-inf,inf,False
3,logK_mg,-6.869907549496335,48.497649686016004,-128.86598564149443,114.932573248762,-6.0,-inf,inf,False
4,n_mg,-1.6552001357263815,0.3863483164184544,-2.5837977146597337,-1.218641824967341,0.0,-5.0,5.0,False
