,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,41.60779863272832,138.16753526210812,-235.4611000527081,291.95032618749866,-6.0,-inf,inf,False
1,logK_dock,-350.30719695593416,3104.068278916718,-3067.3996249359293,294.54453206581417,-3.0,-inf,inf,False
2,logK_2AP,-54.56847761684364,117.40836486002821,-296.25229307928026,187.82029220379712,-3.0,-inf,inf,False
3,logK_mg,135.30759213044345,1153.52641520333,-261.01478412508584,1512.0280649561269,-6.0,-inf,inf,False
4,n_mg,0.4297568180181918,2.479570185782153,-4.715703463130965,4.589965061516385,0.0,-5.0,5.0,False
