,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-4.8908874333236703e+27,6.743747061153777e+28,-2.6749660896145777e+28,18.306975200745295,-6.0,-inf,inf,False
1,logK_dock,-6.562653665846619e+27,7.006856010421372e+28,-3.0122625873684777e+28,6.585469889410538,-3.0,-inf,inf,False
2,logK_2AP,-3.1984003891638193,0.14550980522122084,-3.40324646780412,-2.7932316913864454,-3.0,-inf,inf,False
3,logK_mg,6.730064673576733e+27,1.0175204947789284e+29,-2.904083615798289e+21,2.9382694435834368e+28,-6.0,-inf,inf,False
4,n_mg,-1.5670729946966724,2.5871102622374846,-4.899167028294427,4.661419129662686,0.0,-5.0,5.0,False
