,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-1097.693408116121,2599.2457548846564,-6243.556377441773,-5.088157985109058,-6.0,-inf,inf,False
1,logK_dock,11.795402053232156,56.631601632795324,-95.32291653365942,143.27308476646124,-3.0,-inf,inf,False
2,logK_2AP,-3.8720533209908745,0.054433448057991815,-3.9762445996643994,-3.7670079385024424,-3.0,-inf,inf,False
3,logK_mg,-0.33295475862956525,31.173874056097482,-62.34886566768354,79.74902698941652,-6.0,-inf,inf,False
4,n_mg,-2.2222383986095244,0.9168962991595959,-4.474411675258751,-0.9904823123355416,0.0,-5.0,5.0,False
