,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-14552.331496431518,34427.501000672855,-102200.71095666647,-7.610777698795545,-6.0,-inf,inf,False
1,logK_dock,1.3492005312307584,47.11575873749768,-88.22497865645913,128.29803171738274,-3.0,-inf,inf,False
2,logK_2AP,-2.2742260402902885,0.05646689193341599,-2.378754404844294,-2.1602768378138064,-3.0,-inf,inf,False
3,logK_mg,-5.521175909539545,32.02163772026321,-67.25397660501363,78.38221535595116,-6.0,-inf,inf,False
4,n_mg,-1.6126384144432346,0.40548789030565546,-2.8162693271905583,-1.215276799915431,0.0,-5.0,5.0,False
