,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-6.53018610843607,0.7530072022304604,-8.096150311374178,-4.964221905497962,-6.0,-inf,inf,False
1,logK_dock,6.409005170716375,0.7144309417132098,4.923264693227763,7.894745648204987,-3.0,-inf,inf,False
2,logK_2AP,-4.089719459673719,0.49825934591771603,-5.1259064937091505,-3.053532425638288,-3.0,-inf,inf,False
3,logK_mg,-5.999999985837305,0.7287150602901751,-7.515445914078306,-4.484554057596304,-6.0,-inf,inf,False
4,n_mg,0.1009028482504753,0.13783119068384284,-0.18573280413094262,0.3875385006318932,0.0,-5.0,5.0,False
