,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-6.733323769137157,192.56570660310493,-411.29886096617446,397.8322134279002,-6.0,-inf,inf,False
1,logK_dock,-0.3784465193070769,5.227096187956505,-11.360168107044403,10.603275068430248,-3.0,-inf,inf,False
2,logK_2AP,-2.437319203189151,0.03996487397896563,-2.5212822877670122,-2.3533561186112895,-3.0,-inf,inf,False
3,logK_mg,-7.224413760689558,2.9007953355813343,-13.318758615440554,-1.1300689059385602,-6.0,-inf,inf,False
4,n_mg,-1.8133369510418142,0.1883384358783408,-2.2090213220031294,-1.4176525800804993,0.0,-5.0,5.0,False
