,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-1.5479200364620834e+20,1.1517338371123771e+21,-1.6080797539709422e+21,-78.5741042538535,-6.0,-inf,inf,False
1,logK_dock,0.0,,,,,,,True
2,logK_2AP,-2.4419471332069658,0.05528441216419704,-2.5482651058261068,-2.331936078081101,-3.0,-inf,inf,False
3,logK_mg,-7.004270418030881,0.09087947459494193,-7.175804593944665,-6.8232973005701405,-6.0,-inf,inf,False
4,n_mg,-1.9241540541675342,0.3398964595138933,-2.588236473567765,-1.5155621869804243,0.0,-5.0,5.0,False
