,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-4.1581265938847823e+21,2.8859715757846355e+22,-4.561384461624596e+22,-182.35145670926795,-6.0,-inf,inf,False
1,logK_dock,0.0,,,,,,,True
2,logK_2AP,-2.3651250587796766,0.04154840686675473,-2.4445122065161233,-2.282360924832753,-3.0,-inf,inf,False
3,logK_mg,-5.995169451555126,0.10086951366742804,-6.196408630591744,-5.7986653052581705,-6.0,-inf,inf,False
4,n_mg,-1.604159903442594,0.37169776989383196,-2.3561329264709063,-1.1284361339140296,0.0,-5.0,5.0,False
