,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-2.2985308770629517e+18,2.582708655555958e+19,-1.7152002111849644e+19,-151.86055672763928,-6.0,-inf,inf,False
1,logK_dock,0.0,,,,,,,True
2,logK_2AP,-3.8698756174977573,0.05730426747971345,-3.96848310477913,-3.7468526918785696,-3.0,-inf,inf,False
3,logK_mg,-6.347701379040984,0.20844033358251093,-6.83106083928941,-6.100932266488427,-6.0,-inf,inf,False
4,n_mg,-2.385518506980547,1.1293793144356505,-4.762182494273505,-0.8030895853161537,0.0,-5.0,5.0,False
