,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-4.6043149506049245e+20,2.9580536597189713e+21,-4.764092132048694e+21,-152.7103407965615,-6.0,-inf,inf,False
1,logK_dock,0.0,,,,,,,True
2,logK_2AP,-2.2834733154952382,0.0553216103411816,-2.384014852817462,-2.1654848956636865,-3.0,-inf,inf,False
3,logK_mg,-6.583749008133287,0.17142164754749079,-6.901184686662905,-6.238537825754443,-6.0,-inf,inf,False
4,n_mg,-1.84342178077696,0.6781111867932706,-4.0000267566998575,-1.2002949461135488,0.0,-5.0,5.0,False
