,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-2.0138312464692774e+17,1.9011202953382354e+18,-1.639223594546046e+18,-8.372069778525862,-6.0,-inf,inf,False
1,logK_dock,0.0,,,,,,,True
2,logK_2AP,-2.7567643317427244,0.044188591036959865,-2.8407235119173806,-2.6666343696678854,-3.0,-inf,inf,False
3,logK_mg,-6.2698696899348,0.12691301945607147,-6.555701024434211,-6.085760618469843,-6.0,-inf,inf,False
4,n_mg,-2.163008037740751,0.9773240281093486,-4.6239832542883335,-1.1139195038110445,0.0,-5.0,5.0,False
