,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-106381534.38083076,439399705.2901079,-908146562.9362698,-45.98332177929137,-6.0,-inf,inf,False
1,logK_dock,0.0,,,,,,,True
2,logK_2AP,6.345131730340106,13.414963340856998,-4.169552800361865,48.39190031956752,-3.0,-inf,inf,False
3,logK_mg,-35.365038565811425,36.27979507300676,-145.99997633201764,-6.79871930092813,-6.0,-inf,inf,False
4,n_mg,-0.5031593087640395,0.48755380255962516,-1.784612740155406,-0.23956866333998605,0.0,-5.0,5.0,False
