,param,estimate,stdev,low_95,high_95,guess,lower_bound,upper_bound,fixed
0,logK_link,-6.628300297780676e+19,3.9868441642447235e+20,-7.185365918537638e+20,-670.6437346194177,-6.0,-inf,inf,False
1,logK_dock,0.0,,,,,,,True
2,logK_2AP,-2.879400321039148,0.07577550873922147,-3.0025032079975342,-2.7058073912881566,-3.0,-inf,inf,False
3,logK_mg,-7.323592377452108,0.1668526181075927,-7.724617064413196,-7.086961806100735,-6.0,-inf,inf,False
4,n_mg,-1.7928064972968336,0.7738612417389145,-4.316530544734167,-1.0599969214025564,0.0,-5.0,5.0,False
